_id,SKUCode,multiCode,vendorCode,majorCode,colorCode,finishCode,image[0],isDeleted,__v
643dabf1528fff8354d9e3c8,31-16316,31-00056-DP-W-W,DP,31,W,W,03116316.jpg,,
643dabf1528fff8354d9e4ca,85-28713,85-00314-EMR-Y-Y,EMR,85,Y,Y,08528713.jpg,,
643dabf1528fff8354d9e52e,90-11914,90-00414-EMR-Y-MNC,EMR,90,Y,,09011914.jpg,,
643dabf1528fff8354d9e4de,85-30199,85-00334-EMR-Y-Y,EMR,85,Y,Y,08530199.jpg,,
643dabf1528fff8354d9e4ed,85-30568,85-00349-EMR-Y-Y,EMR,85,Y,Y,08530568.jpg,,
643dabf1528fff8354d9e4c3,85-27811,85-00307-PR-W-W,PR,85,W,W,08527811.jpg,,
643dabf1528fff8354d9e4bc,81-02549,81-00300-EMR-R-RW,EMR,81,R,RW,08102549.jpg,,
643dabf1528fff8354d9e51d,90-10878,90-00397-EMR-Y-ATQ,EMR,90,Y,ATQ,09010878.jpg,,
643dabf1528fff8354d9e569,361-02221,361-00476-SHT-W-W,SHT,361,W,W,36102221.jpg,,
643dabf1528fff8354d9e3cb,31-16379,31-00059-UG-Y-Y,UG,31,Y,Y,03116379.jpg,,
643dabf1528fff8354d9e570,362-01375,362-00483-SHT-Y-Y,SHT,362,Y,Y,36201375.jpg,,
643dabf1528fff8354d9e40a,48-10406,48-00122-DP-Y-Y,DP,48,Y,Y,04810406.jpg,,
643dabf1528fff8354d9e3c5,31-15362,31-00053-UG-Y-TT,UG,31,Y,TT,03115362.jpg,,
643dabf1528fff8354d9e425,50-17007,50-00149-UG-Y-TT,UG,50,Y,TT,05017007.jpg,,
643dabf1528fff8354d9e566,361-02197,361-00473-SHT-R-R,SHT,361,R,R,36102197.jpg,,
643dabf1528fff8354d9e48e,75-20286,75-00254-EMR-Y-MNC,EMR,75,Y,,07520286.jpg,,
643dabf1528fff8354d9e450,61-04359,61-00192-DP-Y-Y,DP,61,Y,Y,06104359.jpg,,
643dabf1528fff8354d9e42e,51-03700,51-00158-DP-Y-TT,DP,51,Y,TT,05103700.jpg,,
643dabf1528fff8354d9e464,70-16711,70-00212-HPG-Y-Y,HPG,70,Y,Y,07016711.jpg,,
643dabf1528fff8354d9e4f6,85-30709,85-00358-EMR-Y-Y,EMR,85,Y,Y,08530709.jpg,,
643dabf1528fff8354d9e4e6,85-30469,85-00342-EMR-Y-Y,EMR,85,Y,Y,08530469.jpg,,
643dabf1528fff8354d9e3e2,34-00625,34-00082-UG-Y-Y,UG,34,Y,Y,03400625.jpg,,
643dabf1528fff8354d9e500,85-31024,85-00368-RHC-Y-Y,RHC,85,Y,Y,08531024.jpg,,
